round 9, camouflage.png
round 10, broken_bear.png
round 10, countdown-baseball.txt
round 10, raid_recovery.zip
round 13, pickles.py
round 14, a_fun_cipher.py
round 14, output.txt
round 14, vol.vmem.7z
round 14, EoMeFNEXUAAryIa.jpg
round 14, secvol.vmem.7z
round 14, flag.bin
round 16, capture.pcapng
round 16, flag.zip
round 16, babel.txt
round 16, source.zip
round 16, libc.bak
round 16, bf
round 18, firmware.hex
round 18, player_1.zip
round 18, ContrabandWords.txt
round 18, Eth007.py
round 18, qrcode_1.png
round 18, sig
round 19, flag
round 19, Dockerfile
round 19, opendoors
round 20, ancient.zip
round 20, ciphertext.txt
round 20, oracle.py
round 21, chall
round 22, little.txt
round 23, tot.py
round 23, server.py
round 23, alice.wav
round 23, challenge_8
round 24, flag.zip
round 25, Spy
round 25, Penguins
round 26, out.txt (Here's some Rev)
round 26, JRKE.jar
round 26, output.txt (JRKE)
round 26, out.txt (Linear Feedback Shift Randomness)
round 26, main.py (Linear Feedback Shift Randomness)
round 26, main.py (Rolled my own Crypto)
round 27, Encryption.py
round 28, challenge.db
round 28, messages.txt
round 28, ronwaswrong.py
round 35, vuln (ret2ribc)
round 38, Dockerfile
round 38, server.py
